date,zone,new_cases
2020-01-01,zone_1,17
2020-01-01,zone_2,158
2020-01-01,zone_3,29
2020-01-01,zone_4,39
2020-01-01,zone_5,35
2020-01-01,zone_6,64
2020-01-01,zone_7,20
2020-01-01,zone_8,84
2020-01-01,zone_9,17
2020-01-01,zone_10,29
2020-01-02,zone_1,25
2020-01-02,zone_2,77
2020-01-02,zone_3,20
2020-01-02,zone_4,47
2020-01-02,zone_5,38
2020-01-02,zone_6,66
2020-01-02,zone_7,20
2020-01-02,zone_8,80
2020-01-02,zone_9,35
2020-01-02,zone_10,27
2020-01-03,zone_1,14
2020-01-03,zone_2,89
2020-01-03,zone_3,14
2020-01-03,zone_4,52
2020-01-03,zone_5,36
2020-01-03,zone_6,82
2020-01-03,zone_7,21
2020-01-03,zone_8,79
2020-01-03,zone_9,12
2020-01-03,zone_10,20
2020-01-04,zone_1,27
2020-01-04,zone_2,87
2020-01-04,zone_3,24
2020-01-04,zone_4,43
2020-01-04,zone_5,35
2020-01-04,zone_6,73
2020-01-04,zone_7,19
2020-01-04,zone_8,85
2020-01-04,zone_9,13
2020-01-04,zone_10,21
2020-01-05,zone_1,23
2020-01-05,zone_2,93
2020-01-05,zone_3,20
2020-01-05,zone_4,42
2020-01-05,zone_5,39
2020-01-05,zone_6,62
2020-01-05,zone_7,17
2020-01-05,zone_8,90
2020-01-05,zone_9,12
2020-01-05,zone_10,27
2020-01-06,zone_1,17
2020-01-06,zone_2,95
2020-01-06,zone_3,26
2020-01-06,zone_4,48
2020-01-06,zone_5,39
2020-01-06,zone_6,82
2020-01-06,zone_7,26
2020-01-06,zone_8,75
2020-01-06,zone_9,18
2020-01-06,zone_10,25
2020-01-07,zone_1,19
2020-01-07,zone_2,75
2020-01-07,zone_3,30
2020-01-07,zone_4,37
2020-01-07,zone_5,35
2020-01-07,zone_6,85
2020-01-07,zone_7,21
2020-01-07,zone_8,79
2020-01-07,zone_9,14
2020-01-07,zone_10,21
2020-01-08,zone_1,20
2020-01-08,zone_2,97
2020-01-08,zone_3,16
2020-01-08,zone_4,39
2020-01-08,zone_5,42
2020-01-08,zone_6,73
2020-01-08,zone_7,29
2020-01-08,zone_8,95
2020-01-08,zone_9,14
2020-01-08,zone_10,26
2020-01-09,zone_1,24
2020-01-09,zone_2,53
2020-01-09,zone_3,22
2020-01-09,zone_4,54
2020-01-09,zone_5,27
2020-01-09,zone_6,78
2020-01-09,zone_7,19
2020-01-09,zone_8,167
2020-01-09,zone_9,15
2020-01-09,zone_10,21
2020-01-10,zone_1,26
2020-01-10,zone_2,87
2020-01-10,zone_3,23
2020-01-10,zone_4,54
2020-01-10,zone_5,23
2020-01-10,zone_6,83
2020-01-10,zone_7,22
2020-01-10,zone_8,85
2020-01-10,zone_9,18
2020-01-10,zone_10,27
2020-01-11,zone_1,26
2020-01-11,zone_2,85
2020-01-11,zone_3,34
2020-01-11,zone_4,52
2020-01-11,zone_5,50
2020-01-11,zone_6,92
2020-01-11,zone_7,15
2020-01-11,zone_8,93
2020-01-11,zone_9,21
2020-01-11,zone_10,21
2020-01-12,zone_1,25
2020-01-12,zone_2,90
2020-01-12,zone_3,28
2020-01-12,zone_4,47
2020-01-12,zone_5,35
2020-01-12,zone_6,77
2020-01-12,zone_7,22
2020-01-12,zone_8,196
2020-01-12,zone_9,10
2020-01-12,zone_10,36
2020-01-13,zone_1,23
2020-01-13,zone_2,86
2020-01-13,zone_3,29
2020-01-13,zone_4,35
2020-01-13,zone_5,47
2020-01-13,zone_6,68
2020-01-13,zone_7,15
2020-01-13,zone_8,71
2020-01-13,zone_9,9
2020-01-13,zone_10,23
2020-01-14,zone_1,28
2020-01-14,zone_2,90
2020-01-14,zone_3,33
2020-01-14,zone_4,35
2020-01-14,zone_5,41
2020-01-14,zone_6,103
2020-01-14,zone_7,29
2020-01-14,zone_8,72
2020-01-14,zone_9,17
