,date,zone,new_cases
0,2020-01-01,zone_1,17
1,2020-01-01,zone_2,158
2,2020-01-01,zone_3,29
3,2020-01-01,zone_4,39
4,2020-01-01,zone_5,35
5,2020-01-01,zone_6,64
6,2020-01-01,zone_7,20
7,2020-01-01,zone_8,84
8,2020-01-01,zone_9,17
9,2020-01-01,zone_10,29
10,2020-01-02,zone_1,25
11,2020-01-02,zone_2,77
12,2020-01-02,zone_3,20
13,2020-01-02,zone_4,47
14,2020-01-02,zone_5,38
15,2020-01-02,zone_6,66
16,2020-01-02,zone_7,20
17,2020-01-02,zone_8,80
18,2020-01-02,zone_9,35
19,2020-01-02,zone_10,27
20,2020-01-03,zone_1,14
21,2020-01-03,zone_2,89
22,2020-01-03,zone_3,14
23,2020-01-03,zone_4,52
24,2020-01-03,zone_5,36
25,2020-01-03,zone_6,82
26,2020-01-03,zone_7,21
27,2020-01-03,zone_8,79
28,2020-01-03,zone_9,12
29,2020-01-03,zone_10,20
30,2020-01-04,zone_1,27
31,2020-01-04,zone_2,87
32,2020-01-04,zone_3,24
33,2020-01-04,zone_4,43
34,2020-01-04,zone_5,35
35,2020-01-04,zone_6,73
36,2020-01-04,zone_7,19
37,2020-01-04,zone_8,85
38,2020-01-04,zone_9,13
39,2020-01-04,zone_10,21
40,2020-01-05,zone_1,23
41,2020-01-05,zone_2,93
42,2020-01-05,zone_3,20
43,2020-01-05,zone_4,42
44,2020-01-05,zone_5,39
45,2020-01-05,zone_6,62
46,2020-01-05,zone_7,17
47,2020-01-05,zone_8,90
48,2020-01-05,zone_9,12
49,2020-01-05,zone_10,27
50,2020-01-06,zone_1,17
51,2020-01-06,zone_2,95
52,2020-01-06,zone_3,26
53,2020-01-06,zone_4,48
54,2020-01-06,zone_5,39
55,2020-01-06,zone_6,82
56,2020-01-06,zone_7,26
57,2020-01-06,zone_8,75
58,2020-01-06,zone_9,18
59,2020-01-06,zone_10,25
60,2020-01-07,zone_1,19
61,2020-01-07,zone_2,75
62,2020-01-07,zone_3,30
63,2020-01-07,zone_4,37
64,2020-01-07,zone_5,35
65,2020-01-07,zone_6,85
66,2020-01-07,zone_7,21
67,2020-01-07,zone_8,79
68,2020-01-07,zone_9,14
69,2020-01-07,zone_10,21
70,2020-01-08,zone_1,20
71,2020-01-08,zone_2,97
72,2020-01-08,zone_3,16
73,2020-01-08,zone_4,39
74,2020-01-08,zone_5,42
75,2020-01-08,zone_6,73
76,2020-01-08,zone_7,29
77,2020-01-08,zone_8,95
78,2020-01-08,zone_9,14
79,2020-01-08,zone_10,26
80,2020-01-09,zone_1,24
81,2020-01-09,zone_2,53
82,2020-01-09,zone_3,22
83,2020-01-09,zone_4,54
84,2020-01-09,zone_5,27
85,2020-01-09,zone_6,78
86,2020-01-09,zone_7,19
87,2020-01-09,zone_8,167
88,2020-01-09,zone_9,15
89,2020-01-09,zone_10,21
90,2020-01-10,zone_1,26
91,2020-01-10,zone_2,87
92,2020-01-10,zone_3,23
93,2020-01-10,zone_4,54
94,2020-01-10,zone_5,23
95,2020-01-10,zone_6,83
96,2020-01-10,zone_7,22
97,2020-01-10,zone_8,85
98,2020-01-10,zone_9,18
99,2020-01-10,zone_10,27
100,2020-01-11,zone_1,26
101,2020-01-11,zone_2,85
102,2020-01-11,zone_3,34
103,2020-01-11,zone_4,52
104,2020-01-11,zone_5,50
105,2020-01-11,zone_6,92
106,2020-01-11,zone_7,15
107,2020-01-11,zone_8,93
108,2020-01-11,zone_9,21
109,2020-01-11,zone_10,21
110,2020-01-12,zone_1,25
111,2020-01-12,zone_2,90
112,2020-01-12,zone_3,28
113,2020-01-12,zone_4,47
114,2020-01-12,zone_5,35
115,2020-01-12,zone_6,77
116,2020-01-12,zone_7,22
117,2020-01-12,zone_8,196
118,2020-01-12,zone_9,10
119,2020-01-12,zone_10,36
120,2020-01-13,zone_1,23
121,2020-01-13,zone_2,86
122,2020-01-13,zone_3,29
123,2020-01-13,zone_4,35
124,2020-01-13,zone_5,47
125,2020-01-13,zone_6,68
126,2020-01-13,zone_7,15
127,2020-01-13,zone_8,71
128,2020-01-13,zone_9,9
129,2020-01-13,zone_10,23
130,2020-01-14,zone_1,28
131,2020-01-14,zone_2,90
132,2020-01-14,zone_3,33
133,2020-01-14,zone_4,35
134,2020-01-14,zone_5,41
135,2020-01-14,zone_6,103
136,2020-01-14,zone_7,29
137,2020-01-14,zone_8,72
138,2020-01-14,zone_9,17
139,2020-01-14,zone_10,25
140,2020-01-15,zone_1,31
141,2020-01-15,zone_2,81
142,2020-01-15,zone_3,20
143,2020-01-15,zone_4,52
144,2020-01-15,zone_5,39
145,2020-01-15,zone_6,85
146,2020-01-15,zone_7,26
147,2020-01-15,zone_8,107
148,2020-01-15,zone_9,12
149,2020-01-15,zone_10,31
150,2020-01-16,zone_1,20
151,2020-01-16,zone_2,94
152,2020-01-16,zone_3,27
153,2020-01-16,zone_4,53
154,2020-01-16,zone_5,42
155,2020-01-16,zone_6,81
156,2020-01-16,zone_7,23
157,2020-01-16,zone_8,77
158,2020-01-16,zone_9,18
